Sex,Age,IMD-1,IMD-2,IMD-3,IMD-4,IMD-5
Female,28,0.255097336,0.247034136,0.1997451,0.167450574,0.130672854
Female,29,0.255097336,0.247034136,0.1997451,0.167450574,0.130672854
Female,30,0.243456112,0.23836772,0.200640099,0.174341308,0.14319476
Female,31,0.243456112,0.23836772,0.200640099,0.174341308,0.14319476
Female,32,0.243456112,0.23836772,0.200640099,0.174341308,0.14319476
Female,33,0.243456112,0.23836772,0.200640099,0.174341308,0.14319476
Female,34,0.243456112,0.23836772,0.200640099,0.174341308,0.14319476
Female,35,0.217443545,0.217415132,0.198550187,0.188028743,0.178562393
Female,36,0.217443545,0.217415132,0.198550187,0.188028743,0.178562393
Female,37,0.217443545,0.217415132,0.198550187,0.188028743,0.178562393
Female,38,0.217443545,0.217415132,0.198550187,0.188028743,0.178562393
Female,39,0.217443545,0.217415132,0.198550187,0.188028743,0.178562393
Female,40,0.19698299,0.200332913,0.197206511,0.199296747,0.206180839
Female,41,0.19698299,0.200332913,0.197206511,0.199296747,0.206180839
Female,42,0.19698299,0.200332913,0.197206511,0.199296747,0.206180839
Female,43,0.19698299,0.200332913,0.197206511,0.199296747,0.206180839
Female,44,0.19698299,0.200332913,0.197206511,0.199296747,0.206180839
Female,45,0.188088844,0.193988264,0.200241176,0.205311328,0.212370388
Female,46,0.188088844,0.193988264,0.200241176,0.205311328,0.212370388
Female,47,0.188088844,0.193988264,0.200241176,0.205311328,0.212370388
Female,48,0.188088844,0.193988264,0.200241176,0.205311328,0.212370388
Female,49,0.188088844,0.193988264,0.200241176,0.205311328,0.212370388
Female,50,0.178895463,0.189939827,0.204033264,0.211321737,0.21580971
Female,51,0.178895463,0.189939827,0.204033264,0.211321737,0.21580971
Female,52,0.178895463,0.189939827,0.204033264,0.211321737,0.21580971
Female,53,0.178895463,0.189939827,0.204033264,0.211321737,0.21580971
Female,54,0.178895463,0.189939827,0.204033264,0.211321737,0.21580971
Female,55,0.173726338,0.188925489,0.207203797,0.213987833,0.216156543
Female,56,0.173726338,0.188925489,0.207203797,0.213987833,0.216156543
Female,57,0.173726338,0.188925489,0.207203797,0.213987833,0.216156543
Female,58,0.173726338,0.188925489,0.207203797,0.213987833,0.216156543
Female,59,0.173726338,0.188925489,0.207203797,0.213987833,0.216156543
Female,60,0.164440725,0.185703449,0.21172134,0.21950605,0.218628436
Female,61,0.164440725,0.185703449,0.21172134,0.21950605,0.218628436
Female,62,0.164440725,0.185703449,0.21172134,0.21950605,0.218628436
Female,63,0.164440725,0.185703449,0.21172134,0.21950605,0.218628436
Female,64,0.164440725,0.185703449,0.21172134,0.21950605,0.218628436
Female,65,0.147325484,0.178078913,0.213361885,0.229024881,0.232208836
Female,66,0.147325484,0.178078913,0.213361885,0.229024881,0.232208836
Female,67,0.147325484,0.178078913,0.213361885,0.229024881,0.232208836
Female,68,0.147325484,0.178078913,0.213361885,0.229024881,0.232208836
Female,69,0.147325484,0.178078913,0.213361885,0.229024881,0.232208836
Female,70,0.136454006,0.170832139,0.214868119,0.235027981,0.242817755
Female,71,0.136454006,0.170832139,0.214868119,0.235027981,0.242817755
Female,72,0.136454006,0.170832139,0.214868119,0.235027981,0.242817755
Female,73,0.136454006,0.170832139,0.214868119,0.235027981,0.242817755
Female,74,0.136454006,0.170832139,0.214868119,0.235027981,0.242817755
Female,75,0.147386166,0.177201785,0.212483396,0.228968426,0.233960227
Female,76,0.147386166,0.177201785,0.212483396,0.228968426,0.233960227
Female,77,0.147386166,0.177201785,0.212483396,0.228968426,0.233960227
Female,78,0.147386166,0.177201785,0.212483396,0.228968426,0.233960227
Female,79,0.147386166,0.177201785,0.212483396,0.228968426,0.233960227
Female,80,0.147529972,0.178745891,0.212490517,0.22703642,0.2341972
Female,81,0.147529972,0.178745891,0.212490517,0.22703642,0.2341972
Female,82,0.147529972,0.178745891,0.212490517,0.22703642,0.2341972
Female,83,0.147529972,0.178745891,0.212490517,0.22703642,0.2341972
Female,84,0.147529972,0.178745891,0.212490517,0.22703642,0.2341972
Female,85,0.147315678,0.181325443,0.215438558,0.225528568,0.230391753
Female,86,0.147315678,0.181325443,0.215438558,0.225528568,0.230391753
Female,87,0.147315678,0.181325443,0.215438558,0.225528568,0.230391753
Female,88,0.147315678,0.181325443,0.215438558,0.225528568,0.230391753
Female,89,0.147315678,0.181325443,0.215438558,0.225528568,0.230391753
